file,Cluster1_0,Cluster1_1,Cluster1_2,Cluster2_0,Cluster2_1,Cluster2_2,Comment
173,-18.00234482750354,-20.933186865544,-23.864028903584458,-25.501751946084937,-27.538577701306647,-29.575403456528356,
174,-10.278178322842564,-14.808339004979448,-19.338499687116332,-17.50807188939534,-21.154789566276218,-24.801507243157097,
175,-3.958958224054949,-9.605610474823504,-15.252262725592058,-8.746903271581296,-13.77179311441407,-18.796682957246844,
176,0.3446336437704236,-5.837832516611331,-12.020298676993086,-0.9033734511877043,-6.952640626743309,-13.001907802298915,
177,4.162007765777687,2.917516866506027,1.673025967234367,-11.513396438336033,-7.832961178244821,-4.152525918153609,Check!!!
178,5.094665381990778,2.602534948106735,0.11040451422269193,-5.590399665816914,-5.590303266571907,-5.5902068673269,Check!!!
179,3.112510656269921,1.0737251838252928,-0.9650602886193353,-5.8587195514892585,-5.858877509266108,-5.859035467042958,Check!!!
143,1.0254569640151567,-2.6743796544872973,-6.374216272989751,-0.737700148272511,-4.607683006586394,-8.477665864900278,
144,0.44061642926732536,-1.3973570692692014,-3.235330567805728,-4.989918055738191,-6.66456640908741,-8.33921476243663,Check!!!
145,-2.3892104754361925,-4.422215591261077,-6.455220707085962,-3.4222126564796644,-5.44022771830398,-7.458242780128296,
146,-4.032708768259839,-4.567078201378166,-5.101447634496493,-6.823296616394041,-7.505506101370068,-8.187715586346096,
147,-4.617147739063087,-5.709543381236083,-6.801939023409078,-8.205928717056398,-9.244033267147012,-10.282137817237626,
148,-6.27263798030279,-7.758793657966088,-9.244949335629386,-9.634241413897522,-11.054280999714123,-12.474320585530725,Check!!!
149,-10.318004151172929,-11.28358780836755,-12.24917146556217,-14.259532712879862,-15.836111792475023,-17.412690872070183,Check!!!
150,-15.329634234619675,-16.67695284312029,-18.024271451620905,-19.813049995063498,-21.49029312146466,-23.167536247865822,Check!!!
151,-25.229084589861206,-26.687562846880493,-28.14604110389978,-21.101522224248832,-22.411914935126784,-23.722307646004737,
152,-27.47457261248087,-29.467350182057057,-31.460127751633244,-26.805662883836522,-28.855604544225468,-30.905546204614414,
153,-30.500619592360295,-31.48037416546446,-32.46012873856863,-29.02096875889784,-29.601986873182927,-30.183004987468014,
154,-25.808670680751,-26.91881450213328,-28.02895832351556,-30.71286490481386,-31.320753703372375,-31.92864250193089,
155,-19.04334968651451,-21.816485676378495,-24.58962166624248,-25.469359106098103,-27.607482960269508,-29.74560681444091,
156,-16.965733688190404,-16.965393655701124,-16.965053623211844,-21.33811559439168,-21.332822464741906,-21.32752933509213,Check!!!
157,-8.480982947097736,-8.990629652927137,-9.500276358756537,-13.980897095809933,-15.836730822573765,-17.692564549337597,Check!!!
158,-0.10910383310160565,-6.190597928282279,-12.272092023462953,-1.3263825616387885,-7.301707077983805,-13.277031594328822,
159,3.1336993717608075,-2.865416979742196,-8.8645333312452,1.9226894094552396,-4.40683131448018,-10.7363520384156,
160,4.826257800837411,1.9534772627432,-0.9193032753510106,-3.8483347230926235,-6.870265665465934,-9.892196607839244,
161,3.170646235958871,-2.020863960442622,-7.212374156844115,1.5608490434921558,-3.7587349552803113,-9.07831895405278,Check!!!
162,0.24294411190792875,-3.4755385038573046,-7.194021119622538,-0.5902865485334146,-4.363826444868228,-8.137366341203041,
163,-4.4081246595500545,-6.523474297551521,-8.638823935552988,-1.491662270265774,-3.594630711474613,-5.697599152683452,
164,-7.797950887499773,-8.462513300722055,-9.127075713944336,-3.27887911310287,-3.8241163548233175,-4.369353596543765,
165,-9.018240126205942,-9.885065752114894,-10.751891378023846,-3.9665570515827673,-5.052803074586184,-6.139049097589601,
166,-9.349246919118313,-11.576173152343392,-13.803099385568471,-6.128479398892058,-8.377667550645931,-10.626855702399805,
167,-10.865521671083073,-14.0426301447706,-17.219738618458127,-10.652246567249025,-13.795160477777284,-16.93807438830554,
168,-16.37830568952388,-19.680447551079162,-22.982589412634443,-15.383788519721232,-18.68541998422465,-21.98705144872807,
169,-22.39469390866806,-25.247693049781518,-28.100692190894975,-20.649713117143158,-23.612384541890563,-26.57505596663797,
170,-26.835027989686644,-28.832596794281635,-30.830165598876626,-26.180467244125914,-28.298898900691043,-30.41733055725617,
171,-28.402008734460228,-28.906672850420502,-29.411336966380777,-30.082475249967715,-31.114802785917572,-32.14713032186743,
172,-24.684778691440723,-25.829835580210254,-26.974892468979785,-30.407921010972473,-30.983244500487995,-31.558567990003517,
173,-18.00234482750354,-20.933186865544,-23.864028903584458,-25.501751946084937,-27.538577701306647,-29.575403456528356,
174,-10.278178322842564,-14.808339004979448,-19.338499687116332,-17.50807188939534,-21.154789566276218,-24.801507243157097,
175,-3.958958224054949,-9.605610474823504,-15.252262725592058,-8.746903271581296,-13.77179311441407,-18.796682957246844,
176,0.3446336437704236,-5.837832516611331,-12.020298676993086,-0.9033734511877043,-6.952640626743309,-13.001907802298915,
177,4.162007765777687,2.917516866506027,1.673025967234367,-11.513396438336033,-7.832961178244821,-4.152525918153609,Check!!!
178,5.094665381990778,2.602534948106735,0.11040451422269193,-5.590399665816914,-5.590303266571907,-5.5902068673269,Check!!!
179,3.112510656269921,1.0737251838252928,-0.9650602886193353,-5.8587195514892585,-5.858877509266108,-5.859035467042958,Check!!!
143,1.0254569640151567,-2.6743796544872973,-6.374216272989751,-0.737700148272511,-4.607683006586394,-8.477665864900278,
144,0.44061642926732536,-1.3973570692692014,-3.235330567805728,-4.989918055738191,-6.66456640908741,-8.33921476243663,Check!!!
145,-2.3892104754361925,-4.422215591261077,-6.455220707085962,-3.4222126564796644,-5.44022771830398,-7.458242780128296,
146,-4.032708768259839,-4.567078201378166,-5.101447634496493,-6.823296616394041,-7.505506101370068,-8.187715586346096,
147,-4.617147739063087,-5.709543381236083,-6.801939023409078,-8.205928717056398,-9.244033267147012,-10.282137817237626,
148,-6.27263798030279,-7.758793657966088,-9.244949335629386,-9.634241413897522,-11.054280999714123,-12.474320585530725,Check!!!
149,-10.318004151172929,-11.28358780836755,-12.24917146556217,-14.259532712879862,-15.836111792475023,-17.412690872070183,Check!!!
150,-15.329634234619675,-16.67695284312029,-18.024271451620905,-19.813049995063498,-21.49029312146466,-23.167536247865822,Check!!!
151,-25.229084589861206,-26.687562846880493,-28.14604110389978,-21.101522224248832,-22.411914935126784,-23.722307646004737,
152,-27.47457261248087,-29.467350182057057,-31.460127751633244,-26.805662883836522,-28.855604544225468,-30.905546204614414,
153,-30.500619592360295,-31.48037416546446,-32.46012873856863,-29.02096875889784,-29.601986873182927,-30.183004987468014,
154,-25.808670680751,-26.91881450213328,-28.02895832351556,-30.71286490481386,-31.320753703372375,-31.92864250193089,
155,-19.04334968651451,-21.816485676378495,-24.58962166624248,-25.469359106098103,-27.607482960269508,-29.74560681444091,
156,-16.965733688190404,-16.965393655701124,-16.965053623211844,-21.33811559439168,-21.332822464741906,-21.32752933509213,Check!!!
157,-8.480982947097736,-8.990629652927137,-9.500276358756537,-13.980897095809933,-15.836730822573765,-17.692564549337597,Check!!!
158,-0.10910383310160565,-6.190597928282279,-12.272092023462953,-1.3263825616387885,-7.301707077983805,-13.277031594328822,
159,3.1336993717608075,-2.865416979742196,-8.8645333312452,1.9226894094552396,-4.40683131448018,-10.7363520384156,
160,4.826257800837411,1.9534772627432,-0.9193032753510106,-3.8483347230926235,-6.870265665465934,-9.892196607839244,
161,3.170646235958871,-2.020863960442622,-7.212374156844115,1.5608490434921558,-3.7587349552803113,-9.07831895405278,Check!!!
162,0.24294411190792875,-3.4755385038573046,-7.194021119622538,-0.5902865485334146,-4.363826444868228,-8.137366341203041,
163,-4.4081246595500545,-6.523474297551521,-8.638823935552988,-1.491662270265774,-3.594630711474613,-5.697599152683452,
164,-7.797950887499773,-8.462513300722055,-9.127075713944336,-3.27887911310287,-3.8241163548233175,-4.369353596543765,
165,-9.018240126205942,-9.885065752114894,-10.751891378023846,-3.9665570515827673,-5.052803074586184,-6.139049097589601,
166,-9.349246919118313,-11.576173152343392,-13.803099385568471,-6.128479398892058,-8.377667550645931,-10.626855702399805,
167,-10.865521671083073,-14.0426301447706,-17.219738618458127,-10.652246567249025,-13.795160477777284,-16.93807438830554,
168,-16.37830568952388,-19.680447551079162,-22.982589412634443,-15.383788519721232,-18.68541998422465,-21.98705144872807,
169,-22.39469390866806,-25.247693049781518,-28.100692190894975,-20.649713117143158,-23.612384541890563,-26.57505596663797,
170,-26.835027989686644,-28.832596794281635,-30.830165598876626,-26.180467244125914,-28.298898900691043,-30.41733055725617,
171,-28.402008734460228,-28.906672850420502,-29.411336966380777,-30.082475249967715,-31.114802785917572,-32.14713032186743,
172,-24.684778691440723,-25.829835580210254,-26.974892468979785,-30.407921010972473,-30.983244500487995,-31.558567990003517,
173,-18.00234482750354,-20.933186865544,-23.864028903584458,-25.501751946084937,-27.538577701306647,-29.575403456528356,
174,-10.278178322842564,-14.808339004979448,-19.338499687116332,-17.50807188939534,-21.154789566276218,-24.801507243157097,
175,-3.958958224054949,-9.605610474823504,-15.252262725592058,-8.746903271581296,-13.77179311441407,-18.796682957246844,
176,0.3446336437704236,-5.837832516611331,-12.020298676993086,-0.9033734511877043,-6.952640626743309,-13.001907802298915,
177,4.162007765777687,2.917516866506027,1.673025967234367,-11.513396438336033,-7.832961178244821,-4.152525918153609,Check!!!
178,5.094665381990778,2.602534948106735,0.11040451422269193,-5.590399665816914,-5.590303266571907,-5.5902068673269,Check!!!
179,3.112510656269921,1.0737251838252928,-0.9650602886193353,-5.8587195514892585,-5.858877509266108,-5.859035467042958,Check!!!
